Riskiness: Low, Output: 0, accurancy: True
Riskiness: Medium, Output: 0.7703031161444995, accurancy: True
Riskiness: Medium, Output: 0.7602483952829919, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0.2092530245104756, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 1.7519330325000002, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0.2259356049112482, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: Medium, Output: 1.3071326441121405, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Medium, Output: 0.5, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: High, Output: 1.9635172175000002, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: High, Output: 1.7818228719999998, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: Low, Output: 0.0, accurancy: True
Riskiness: High, Output: 2.0, accurancy: True
Riskiness: Medium, Output: 1.3767448620981497, accurancy: True
Riskiness: Low, Output: 0, accurancy: True
